bond_id,cusip,match_method,match_score,n_candidates,n_name_matches,finra_issuer_name,isin,nport_balance,nport_pctVal,Name,Par Value,par_ratio_nport_over_ishares
2553,00206RCU4,coupon_maturity_name,1.0,1,1,AT&T INC,US00206RCU41,5997000.0,0.019399353403,AT&T INC,6629000,0.904661336551516
2554,161175BM5,coupon_maturity_size,0.3333333333333333,1,0,CHARTER COMM OPT LLC/CAP,US161175BM51,6852000.0,0.020547342913,CHARTER COMMUNICATIONS OPERATING L,7088000,0.9667042889390519
2555,375558CB7,coupon_maturity_name,1.0,1,1,GILEAD SCIENCES INC,US375558CB72,5678000.0,0.01930023671,GILEAD SCIENCES INC,6196000,0.9163976759199484
2556,458140BL3,coupon_maturity_name,1.0,1,1,INTEL CORP,US458140BL39,5413000.0,0.016387358885,INTEL CORPORATION,7035000,0.7694385216773276
2557,458140BN9,coupon_maturity_name,1.0,1,1,INTEL CORP,US458140BN94,7203000.0,0.020195461705,INTEL CORPORATION,7727000,0.9321858418532418
2558,91324PEA6,coupon_maturity_name,1.0,1,1,UNITEDHEALTH GROUP INC,US91324PEA66,6309000.0,0.012854611337,UNITEDHEALTH GROUP INC,10714000,0.5888557028187419
2559,165167DH7,coupon_maturity_name,1.0,1,1,EXPAND ENERGY CORP,US165167DH73,5632000.0,0.019298799534,EXPAND ENERGY CORP,6272000,0.8979591836734694
2560,58933YBG9,coupon_maturity_name,1.0,1,1,MERCK & CO INC,US58933YBG98,11284000.0,0.021882801611,MERCK & CO INC,11282000,1.0001772735330614
2561,02209SAM5,coupon_maturity_name,1.0,1,1,ALTRIA GROUP INC,US02209SAM52,7307000.0,0.02015619181,ALTRIA GROUP INC,7636000,0.9569146149816657
2562,478160CG7,coupon_maturity_name,1.0,1,1,JOHNSON & JOHNSON,US478160CG79,8656000.0,0.023205180137,JOHNSON & JOHNSON,7996000,1.0825412706353177
2563,87264ACQ6,coupon_maturity_name,1.0,1,1,T-MOBILE USA INC,US87264ACQ67,7969000.0,0.023858181966,T-MOBILE USA INC,7033000,1.133086876155268
2564,49456BAW1,coupon_maturity_name,1.0,1,1,KINDER MORGAN INC,US49456BAW19,5841000.0,0.018423691411,KINDER MORGAN INC,6707000,0.8708811689279857
2565,049463AH5,coupon_maturity_name,1.0,2,1,ATLAS WAREHOUSE LEND,US049463AH57,5510000.0,0.018163392524,ATLAS WAREHOUSE LENDING COMPANY LP 144A,6435000,0.8562548562548562
